"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MANDSAUR","0.17487788699270337%","14.159078574443708%","85.66604353856359%","5.100072341451652%","51.12732095490716%","43.77260670364119%","22.768637377207256%","71.34333755197974%","5.8880250708129935%","27.916666666666668%","41.42512077294686%","30.658212560386474%","5.276518585675431%","94.72348141432457%","0.5088133745229875%","97.39536010660852%","2.095826518868496%"
"MAIHAR","0%","41.54852780806979%","58.45147219193021%","80.47982551799346%","19.520174482006542%","0%","81.35223555070883%","18.647764449291166%","0%","7.1973827699018535%","22.791712104689203%","70.01090512540894%","0%","100%","0%","99.67284623773173%","0.3271537622682661%"
"DHAR","0.056074766355140186%","63.66121495327103%","36.282710280373834%","11.974215848845084%","81.73389074433052%","6.291893406824392%","19.655365648641077%","75.31521434575511%","5.029420005603811%","66.83439430818198%","19.811364912937652%","13.35424077888036%","0.1241479468740484%","99.87585205312595%","0.11471648639790233%","99.82207238844407%","0.0632111251580278%"
"GWALIOR","0.0374859427714607%","0.4873172560289891%","99.47519680119954%","95.2333416521088%","4.3798352882455704%","0.38682305964562014%","2.3571963083063108%","96.60763282614118%","1.035170865552507%","0.4752376188094047%","88.76938469234618%","10.755377688844423%","0.22525341008634714%","99.77474658991365%","0.1629889669007021%","99.82447342026079%","0.012537612838515547%"
"SHIVPURI","0.25939496125287764%","44.25278038974093%","55.48782464900619%","87.44654658546067%","10.86886095633018%","1.6845924582091487%","5.184179036900488%","88.57734225930598%","6.238478703793539%","3.632506527415144%","32.62402088772846%","63.7434725848564%","20.17753611320384%","79.82246388679616%","0.46500890442582943%","99.22498515929028%","0.3100059362838863%"
"BURHANPUR","0.033938571186153066%","10.147632784659766%","89.81842864415408%","0.7128309572301426%","92.68499660556687%","6.602172437202987%","55.13320889190565%","42.89835397929747%","1.9684371287968776%","17.243720298710116%","39.91853360488798%","42.8377460964019%","0.016975046681378374%","99.98302495331862%","0%","99.94903160040775%","0.0509683995922528%"
"BHOPAL","0.047333543704638686%","36.415272956768696%","63.537393499526665%","25.465446513095614%","44.09908488482171%","30.435468602082675%","74.31771572803281%","24.183625177472788%","1.4986590944943998%","35.61060271378984%","24.487219943199747%","39.902177343010415%","0.03156565656565657%","99.96843434343434%","0.0315905860053704%","99.96840941399464%","0%"
"BETUL","0.030103995621237%","12.939244663382594%","87.03065134099617%","26.139527266772205%","65.54397074076095%","8.316501992466838%","26.18411000763942%","71.6768525592055%","2.1390374331550803%","9.885214539491665%","56.47991254441104%","33.634872916097294%","0.8122521536988924%","99.18774784630111%","0.835158817086528%","98.5815991237678%","0.5832420591456736%"
"JHABUA","0.042142526023009816%","49.24354165788697%","50.714315816090014%","18.432346011443958%","75.40811174688658%","6.159542241669471%","12.999285984291655%","81.01138225040951%","5.989331765298837%","57.621037524798446%","25.743953400025326%","16.635009075176228%","98.52835454814564%","1.4716454518543578%","0.0551314673452078%","99.93214588634436%","0.01272264631043257%"
"DATIA","0.0159846547314578%","8.711636828644501%","91.27237851662404%","32.25187789675564%","60.52421288157264%","7.223909221671728%","28.644501278772378%","62.739769820971865%","8.615728900255755%","30.804928788606176%","43.20691310609698%","25.988158105296847%","0.2241075716343845%","99.77589242836561%","0.1922768787053357%","98.57394648293543%","1.2337766383592372%"
"MAUGANJ","0%","17.63966893289979%","82.3603310671002%","2.948566361217854%","93.46733668341709%","3.5840969553650606%","0.6355305941472066%","99.36446940585279%","0%","4.552172627845108%","52.01005025125628%","43.43777712089861%","0%","100%","0%","100%","0%"
"PANDHURNA","0%","0%","100%","14.285714285714286%","85.71428571428571%","0%","2.0408163265306123%","97.95918367346938%","0%","63.265306122448976%","36.734693877551024%","0%","2.0408163265306123%","97.95918367346938%","0%","100%","0%"
